iter	RMSE
0	14.9127897
1	14.8135308
2	14.71552767
3	14.61408645
4	14.51957468
5	14.42874012
6	14.3415246
7	14.25698782
8	14.16444619
9	14.06649289
10	13.97154017
11	13.88269899
12	13.79656232
13	13.70813938
14	13.61892682
15	13.52637441
16	13.43624911
17	13.35247178
18	13.26556337
19	13.18188505
20	13.11347225
21	13.04032099
22	12.95319961
23	12.8702586
24	12.78891644
25	12.71417622
26	12.6351451
27	12.55967174
28	12.47873478
29	12.4067952
30	12.33389757
31	12.25550289
32	12.18194297
33	12.11349676
34	12.0368928
35	11.96797082
36	11.89589759
37	11.82381299
38	11.75179457
39	11.67841503
40	11.60851553
41	11.54731332
42	11.47943531
43	11.42226959
44	11.35795462
45	11.29088618
46	11.22635734
47	11.16618638
48	11.10831098
49	11.04838888
50	10.98660201
51	10.92429286
52	10.86717729
53	10.80371647
54	10.74431286
55	10.68427459
56	10.62713108
57	10.56832774
58	10.5106423
59	10.45953296
60	10.40365151
61	10.3475546
62	10.29465126
63	10.23774778
64	10.18568485
65	10.13038471
66	10.0740356
67	10.02227541
68	9.970593295
69	9.91947382
70	9.866722467
71	9.816754407
72	9.765537844
73	9.718362816
74	9.669391201
75	9.621746972
76	9.572537677
77	9.526536128
78	9.48371628
79	9.445491082
80	9.398569124
81	9.354063972
82	9.307098902
83	9.26842072
84	9.221365976
85	9.178536688
86	9.138841687
87	9.096537479
88	9.056597471
89	9.01490307
90	8.977826531
91	8.936753503
92	8.895059295
93	8.861743043
94	8.825223339
95	8.786465359
96	8.746461018
97	8.708916962
98	8.670256098
99	8.632172304
100	8.593616929
101	8.558341384
102	8.52696993
103	8.489976409
104	8.454174938
105	8.416924581
106	8.381466861
107	8.346847622
108	8.314175576
109	8.281770212
110	8.246489425
111	8.210759934
112	8.178253689
113	8.14935928
114	8.119869733
115	8.092463517
116	8.06164814
117	8.032883057
118	8.002632059
119	7.969752901
120	7.941336118
121	7.911495732
122	7.880662265
123	7.851937576
124	7.822725057
125	7.796863107
126	7.768178982
127	7.739953674
128	7.71516065
129	7.68924738
130	7.662309868
131	7.638542915
132	7.611173706
133	7.588056015
134	7.563073006
135	7.540696684
136	7.515166524
137	7.489213865
138	7.4671567
139	7.443278731
140	7.419159194
141	7.395963061
142	7.374921554
143	7.35329762
144	7.329195984
145	7.306648601
146	7.284603988
147	7.262922602
148	7.240410944
149	7.219014548
150	7.199098585
151	7.179469951
152	7.157723805
153	7.135543815
154	7.113130086
155	7.092866641
156	7.070706823
157	7.049542242
158	7.029749195
159	7.012748292
160	6.992498653
161	6.971514968
162	6.95112065
163	6.936804145
164	6.918483741
165	6.899104772
166	6.88109537
167	6.862065294
168	6.846172347
169	6.827825318
170	6.812280268
171	6.798641759
172	6.781204229
173	6.764758805
174	6.747624968
175	6.731155847
176	6.714120881
177	6.69760595
178	6.681652804
179	6.668827838
180	6.651982117
181	6.638450641
182	6.623279337
183	6.607003516
184	6.59177276
185	6.577733275
186	6.563451067
187	6.54858762
188	6.535014777
189	6.520930744
190	6.508453126
191	6.493562788
192	6.480684901
193	6.468692901
194	6.454229284
195	6.44130333
196	6.429857027
197	6.417005814
198	6.403780912
199	6.39190858
200	6.378189291
201	6.36444611
202	6.352767956
203	6.342224184
204	6.330822459
205	6.320152049
206	6.308428586
207	6.297540356
208	6.28629099
209	6.275841374
210	6.264483662
211	6.254533821
212	6.24339262
213	6.231009598
214	6.219930013
215	6.208063951
216	6.19741683
217	6.187050261
218	6.17531516
219	6.164888099
220	6.154696147
221	6.14426803
222	6.135221696
223	6.124868134
224	6.114203388
225	6.103976895
226	6.094238906
227	6.083259792
228	6.073858783
229	6.064932703
230	6.054209735
231	6.047095961
232	6.041890794
233	6.032632521
234	6.022967446
235	6.013867551
236	6.007333054
237	5.998811077
238	5.990632728
239	5.98399256
240	5.975442939
241	5.96774489
242	5.960078847
243	5.951180473
244	5.942486976
245	5.934655867
246	5.926786537
247	5.920856272
248	5.913828545
249	5.905224118
250	5.897022748
251	5.890220444
252	5.88123931
253	5.872794425
254	5.864265149
255	5.85663108
256	5.851049231
257	5.843850613
258	5.836945762
259	5.830696806
260	5.82359864
261	5.816610492
262	5.811063116
263	5.805268822
264	5.799755793
265	5.793009059
266	5.786520923
267	5.780041243
268	5.774018181
269	5.768033121
270	5.761761228
271	5.755610341
272	5.751312104
273	5.74544464
274	5.738636421
275	5.732319318
276	5.725791067
277	5.720502377
278	5.714925193
279	5.709349888
280	5.703002576
281	5.698065484
282	5.691878337
283	5.687011086
284	5.681701709
285	5.675228111
286	5.67006498
287	5.66474822
288	5.659473913
289	5.653253822
290	5.647752652
291	5.643004391
292	5.638118758
293	5.633367751
294	5.627354584
295	5.622599176
296	5.617105405
297	5.612845184
298	5.608179933
299	5.603992679
300	5.598958874
301	5.59389345
302	5.588342081
303	5.58330983
304	5.578551572
305	5.574623415
306	5.569803613
307	5.565021478
308	5.561025858
309	5.556691574
310	5.55170604
311	5.547294577
312	5.541753683
313	5.53721509
314	5.532844808
315	5.528969498
316	5.524587779
317	5.520880304
318	5.517133278
319	5.513136261
320	5.509393446
321	5.505077898
322	5.501490298
323	5.496886789
324	5.493773807
325	5.490701805
326	5.486140036
327	5.482057338
328	5.478002124
329	5.47694727
330	5.472941813
331	5.469076828
332	5.465955128
333	5.462792484
334	5.459473445
335	5.456847362
336	5.45368045
337	5.449417302
338	5.446103289
339	5.442247687
340	5.43871318
341	5.434387794
342	5.430331476
343	5.427309078
344	5.423101806
345	5.420860485
346	5.417915372
347	5.414995311
348	5.411536052
349	5.408800441
350	5.405299329
351	5.402158131
352	5.39950541
353	5.396513947
354	5.393482425
355	5.390112004
356	5.386559945
357	5.382728426
358	5.380333419
359	5.377356268
360	5.37377165
361	5.371265297
362	5.368459575
363	5.364901372
364	5.361414721
365	5.358858927
366	5.356914151
367	5.354301564
368	5.352021742
369	5.348774042
370	5.34568617
371	5.342407664
372	5.339557569
373	5.337039354
374	5.334176686
375	5.330852676
376	5.327342046
377	5.32513323
378	5.323215417
379	5.321696418
380	5.318150482
381	5.315358687
382	5.312063186
383	5.309488939
384	5.307588217
385	5.30543068
386	5.301999181
387	5.299100812
388	5.297070815
389	5.295231189
390	5.291961104
391	5.289524257
392	5.286355802
393	5.284500396
394	5.282098823
395	5.27911827
396	5.2769638
397	5.274568862
398	5.273712133
399	5.271396109
400	5.268675951
401	5.266643679
402	5.264157326
403	5.262437225
404	5.259193851
405	5.257394399
406	5.254707957
407	5.252925611
408	5.250882902
409	5.24927175
410	5.246997374
411	5.245226985
412	5.243254323
413	5.241206261
414	5.239222073
415	5.237277871
416	5.234772222
417	5.233338696
418	5.232125823
419	5.230086939
420	5.228344482
421	5.227632786
422	5.225567755
423	5.223802106
424	5.222560162
425	5.220563263
426	5.218915442
427	5.216818077
428	5.214791468
429	5.212955206
430	5.210892649
431	5.210004949
432	5.208114408
433	5.206280429
434	5.204676073
435	5.202504746
436	5.200715308
437	5.197066569
438	5.194195536
439	5.191664245
440	5.18928454
441	5.187677346
442	5.18611894
443	5.183733328
444	5.182083659
445	5.179365231
446	5.177023119
447	5.175135606
448	5.173900562
449	5.172416095
450	5.170983426
451	5.169027439
452	5.167345289
453	5.164609666
454	5.162789683
455	5.161272846
456	5.160226612
457	5.158800091
458	5.157387131
459	5.155805189
460	5.154227742
461	5.152545462
462	5.150804038
463	5.14886445
464	5.14746514
465	5.145692347
466	5.144964968
467	5.14366654
468	5.141808346
469	5.13967506
470	5.137787746
471	5.136286016
472	5.134700571
473	5.133426045
474	5.131459972
475	5.129830954
476	5.127264562
477	5.125000568
478	5.123504441
479	5.121260712
480	5.119555181
481	5.118934014
482	5.117427961
483	5.1159761
484	5.113904653
485	5.11191646
486	5.10969012
487	5.108061795
488	5.106641113
489	5.105193342
490	5.104241691
491	5.102884832
492	5.10115623
493	5.100323599
494	5.099553902
495	5.098165573
496	5.096032368
497	5.094801517
498	5.09397602
499	5.09283838
500	5.091830746
501	5.090273051
502	5.088733322
503	5.087093288
504	5.084832735
505	5.083404947
506	5.08251745
507	5.081328012
508	5.079123028
509	5.077149797
510	5.07543215
511	5.073794666
512	5.072016419
513	5.070987715
514	5.069880608
515	5.068075532
516	5.066052054
517	5.064588197
518	5.062981414
519	5.061964173
520	5.06086023
521	5.059900302
522	5.058479391
523	5.056262825
524	5.056020073
525	5.055259164
526	5.053337859
527	5.051935305
528	5.050391217
529	5.049467802
530	5.047782094
531	5.045645064
532	5.045349109
533	5.044466417
534	5.043318328
535	5.041910158
536	5.040582262
537	5.039275272
538	5.037667306
539	5.035237894
540	5.034307838
541	5.032985676
542	5.031796366
543	5.031119994
544	5.03004769
545	5.0285172
546	5.02667778
547	5.025493912
548	5.024276785
549	5.023310875
550	5.02213108
551	5.020839738
552	5.019677022
553	5.018260216
554	5.016416415
555	5.01519109
556	5.014148616
557	5.012300991
558	5.010799757
559	5.00897997
560	5.007536435
561	5.006502343
562	5.005355112
563	5.003683668
564	5.002212512
565	5.000479759
566	4.998958408
567	4.998055938
568	4.996235269
569	4.995373817
570	4.994417882
571	4.99348533
572	4.992670264
573	4.992152306
574	4.991103853
575	4.990200566
576	4.988582926
577	4.986954585
578	4.985682921
579	4.983656516
580	4.982697884
581	4.981509667
582	4.980571857
583	4.979586021
584	4.978826449
585	4.977594762
586	4.976299069
587	4.975687717
588	4.975099395
589	4.973395154
590	4.971336448
591	4.970086483
592	4.968842926
593	4.967145998
594	4.966394084
595	4.965489491
596	4.964535983
597	4.963901632
598	4.962606325
599	4.961288394
600	4.959987331
601	4.958499739
602	4.956953907
603	4.955635205
604	4.95375998
605	4.952364937
606	4.950625725
607	4.9500437
608	4.949493617
609	4.948778583
610	4.947083724
611	4.946460045
612	4.945468049
613	4.94462259
614	4.943499463
615	4.941619332
616	4.940647371
617	4.939847945
618	4.938775942
619	4.937313026
620	4.936353082
621	4.934987975
622	4.933272778
623	4.932230126
624	4.931104328
625	4.930617792
626	4.929134968
627	4.928032687
628	4.927226639
629	4.925973679
630	4.924021974
631	4.923148186
632	4.921877493
633	4.920658284
634	4.919468646
635	4.918262759
636	4.917233642
637	4.916315385
638	4.915161715
639	4.913760533
640	4.912868894
641	4.911488132
642	4.911161533
643	4.910412917
644	4.909619933
645	4.908546042
646	4.906984654
647	4.905261588
648	4.903982378
649	4.902691843
650	4.902120511
651	4.901626464
652	4.900998913
653	4.900252359
654	4.899233441
655	4.897774626
656	4.897135563
657	4.896045184
658	4.89419148
659	4.892721728
660	4.89123157
661	4.891068007
662	4.890179923
663	4.889240981
664	4.887812947
665	4.887075718
666	4.885890674
667	4.884441029
668	4.883812468
669	4.883117154
670	4.88191305
671	4.88042259
672	4.879168451
673	4.878123701
674	4.877471188
675	4.875907516
676	4.875356512
677	4.874729961
678	4.873761351
679	4.87269833
680	4.871311487
681	4.870340567
682	4.869039951
683	4.868415211
684	4.867932631
685	4.866905276
686	4.866294876
687	4.865351904
688	4.863908093
689	4.862541858
690	4.861374837
691	4.860446086
692	4.859402003
693	4.858418355
694	4.857374343
695	4.855547373
696	4.854075902
697	4.852812499
698	4.851479262
699	4.850667763
700	4.849501355
701	4.848448585
702	4.848101422
703	4.84642222
704	4.844956555
705	4.844107274
706	4.84324001
707	4.842099304
708	4.840577591
709	4.838751083
710	4.83759516
711	4.836986496
712	4.835200003
713	4.834518948
714	4.833569896
715	4.83258966
716	4.831511256
717	4.830501884
718	4.829652914
719	4.828311735
720	4.827288726
721	4.826141909
722	4.82503713
723	4.823521065
724	4.82152105
725	4.82063078
726	4.819886644
727	4.818345569
728	4.816970512
729	4.815859459
730	4.814550719
731	4.813280125
732	4.812155824
733	4.811570998
734	4.81055688
735	4.809202216
736	4.808193038
737	4.807568969
738	4.8071664
739	4.806583063
740	4.8058723
741	4.804987119
742	4.804485652
743	4.803253472
744	4.802445549
745	4.801981126
746	4.800950064
747	4.799975505
748	4.799363103
749	4.798216843
750	4.797248009
751	4.796212995
752	4.794794436
753	4.79296241
754	4.792538113
755	4.791310478
756	4.789394289
757	4.787989827
758	4.78752571
759	4.786206978
760	4.785690652
761	4.784979413
762	4.78417189
763	4.783818392
764	4.783122099
765	4.782246182
766	4.780871003
767	4.779877073
768	4.778875031
769	4.777736351
770	4.777177987
771	4.776650654
772	4.775968014
773	4.775326518
774	4.774037179
775	4.772011252
776	4.770658507
777	4.769791797
778	4.768841914
779	4.767937787
780	4.767047955
781	4.766337199
782	4.765329094
783	4.764222232
784	4.762993541
785	4.761973223
786	4.761000381
787	4.759956782
788	4.759422123
789	4.758519158
790	4.75734286
